Fecha,S&P Colombia Sovereign Bond Index
26/08/2016,1096.48
29/08/2016,1090.05
30/08/2016,1087.34
31/08/2016,1089
1/09/2016,1092.49
2/09/2016,1095.06
5/09/2016,1095.69
6/09/2016,1108.84
7/09/2016,1114.09
8/09/2016,1115.68
9/09/2016,1111.3
12/09/2016,1110.39
13/09/2016,1106.39
14/09/2016,1109.18
15/09/2016,1109.39
16/09/2016,1106.2
19/09/2016,1106.73
20/09/2016,1108.87
21/09/2016,1111.83
22/09/2016,1116.93
23/09/2016,1117.48
26/09/2016,1115.81
27/09/2016,1119.91
28/09/2016,1121.49
29/09/2016,1120.53
30/09/2016,1121.26
3/10/2016,1113.48
4/10/2016,1110.01
5/10/2016,1112.46
6/10/2016,1113.76
7/10/2016,1114.54
10/10/2016,1118.01
11/10/2016,1121.49
12/10/2016,1120.53
13/10/2016,1120.48
14/10/2016,1121
17/10/2016,1121.52
18/10/2016,1120.64
19/10/2016,1118.16
20/10/2016,1118.98
21/10/2016,1116.45
24/10/2016,1116.76
25/10/2016,1114.59
26/10/2016,1115.66
27/10/2016,1114.35
28/10/2016,1114.42
31/10/2016,1112.63
1/11/2016,1108.95
2/11/2016,1110.46
3/11/2016,1111.93
4/11/2016,1112.77
7/11/2016,1113.8
8/11/2016,1117.7
9/11/2016,1116.69
10/11/2016,1107.68
11/11/2016,1100.46
14/11/2016,1101.18
15/11/2016,1101.01
16/11/2016,1104.07
17/11/2016,1102.97
18/11/2016,1096.06
21/11/2016,1096.25
22/11/2016,1099.23
23/11/2016,1101.4
24/11/2016,1102.75
25/11/2016,1106.92
28/11/2016,1113.38
29/11/2016,1114.85
30/11/2016,1117.08
1/12/2016,1111.61
2/12/2016,1112.72
5/12/2016,1116.27
6/12/2016,1116.64
7/12/2016,1120.1
8/12/2016,1120.95
9/12/2016,1119.66
12/12/2016,1119.98
13/12/2016,1120.73
14/12/2016,1120.45
15/12/2016,1118.72
16/12/2016,1118.38
19/12/2016,1124.17
20/12/2016,1127.4
21/12/2016,1131.21
22/12/2016,1131.86
23/12/2016,1132.24
26/12/2016,1132.99
27/12/2016,1133.95
28/12/2016,1132.9
29/12/2016,1133.76
30/12/2016,1134.7
2/01/2017,1135.25
3/01/2017,1135.7
4/01/2017,1139.13
5/01/2017,1145.64
6/01/2017,1153.22
9/01/2017,1166.36
10/01/2017,1151.59
11/01/2017,1153.86
12/01/2017,1155.2
13/01/2017,1152.69
16/01/2017,1152.32
17/01/2017,1152.59
18/01/2017,1150.45
19/01/2017,1148.18
20/01/2017,1150
23/01/2017,1151.44
24/01/2017,1155.28
25/01/2017,1155.24
26/01/2017,1157.06
27/01/2017,1160.07
30/01/2017,1159.61
31/01/2017,1153.33
1/02/2017,1153.86
2/02/2017,1154.57
3/02/2017,1155.45
6/02/2017,1155.97
7/02/2017,1158.94
8/02/2017,1159.15
9/02/2017,1159.72
10/02/2017,1159.93
13/02/2017,1160.39
14/02/2017,1160.28
15/02/2017,1156.35
16/02/2017,1152.36
17/02/2017,1149.75
20/02/2017,1151.39
21/02/2017,1150.46
22/02/2017,1150.92
23/02/2017,1154.22
24/02/2017,1155.32
27/02/2017,1157.38
28/02/2017,1153.37
1/03/2017,1150.2
2/03/2017,1148.98
3/03/2017,1149.75
6/03/2017,1151.25
7/03/2017,1149.94
8/03/2017,1145.91
9/03/2017,1148.08
10/03/2017,1149.38
13/03/2017,1153.1
14/03/2017,1156.71
15/03/2017,1158.97
16/03/2017,1163.53
17/03/2017,1165.44
21/03/2017,1167.18
22/03/2017,1168.75
23/03/2017,1171.2
24/03/2017,1173.03
27/03/2017,1175.86
28/03/2017,1174.97
29/03/2017,1176.83
30/03/2017,1177.78
31/03/2017,1177.82
3/04/2017,1178.9
4/04/2017,1182.27
5/04/2017,1181.13
6/04/2017,1184.12
7/04/2017,1184.08
10/04/2017,1183.6
11/04/2017,1182.92
12/04/2017,1182
17/04/2017,1182.55
18/04/2017,1183.95
19/04/2017,1190.74
20/04/2017,1193.15
21/04/2017,1194.55
24/04/2017,1196.59
25/04/2017,1196.76
26/04/2017,1197.59
27/04/2017,1200.36
28/04/2017,1204.46
2/05/2017,1202.68
3/05/2017,1210.02
